2016-09-16 18:37:06 Notice: Notice (8): Undefined property: App\Shell\ScrapShell::$mega_structure in [/app/vendor/cakephp/cakephp/src/Console/Shell.php, line 547]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
Cake\Console\Shell::__get() - CORE/src/Console/Shell.php, line 547
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 79
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:37:06 Notice: Notice (8): Undefined property: App\Shell\ScrapShell::$mega_structure in [/app/vendor/cakephp/cakephp/src/Console/Shell.php, line 547]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
Cake\Console\Shell::__get() - CORE/src/Console/Shell.php, line 547
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 82
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:37:06 Notice: Notice (8): Undefined variable: offset in [/app/src/Shell/scrapShell.php, line 82]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 82
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:37:07 Notice: Notice (8): Undefined property: App\Shell\ScrapShell::$mega_structure in [/app/vendor/cakephp/cakephp/src/Console/Shell.php, line 547]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
Cake\Console\Shell::__get() - CORE/src/Console/Shell.php, line 547
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 79
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:37:07 Notice: Notice (8): Undefined property: App\Shell\ScrapShell::$mega_structure in [/app/vendor/cakephp/cakephp/src/Console/Shell.php, line 547]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
Cake\Console\Shell::__get() - CORE/src/Console/Shell.php, line 547
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 82
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:37:07 Notice: Notice (8): Undefined variable: offset in [/app/src/Shell/scrapShell.php, line 82]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 82
Cake\Console\Shell::runCommand() - CORE/src/Console/Shell.php, line 446
Cake\Console\ShellDispatcher::_dispatch() - CORE/src/Console/ShellDispatcher.php, line 227
Cake\Console\ShellDispatcher::dispatch() - CORE/src/Console/ShellDispatcher.php, line 182
Cake\Console\ShellDispatcher::run() - CORE/src/Console/ShellDispatcher.php, line 128
[main] - ROOT/bin/cake.php, line 34



2016-09-16 18:38:43 Notice: Notice (8): Undefined variable: offset in [/app/src/Shell/scrapShell.php, line 84]
Trace:
Cake\Error\BaseErrorHandler::handleError() - CORE/src/Error/BaseErrorHandler.php, line 146
App\Shell\ScrapShell::megaScrap() - APP/Shell/scrapShell.php, line 84
